X_int_1	Y_int_1	Cond.1[mS/m]	Inph.1[ppt]	X_int_2	Y_int_2	Cond.2[mS/m]	Inph.2[ppt]	X_int_3	Y_int_3	Cond.3[mS/m]	Inph.3[ppt]	Num fich	b et p	Base	Profil
397652.7238	5315637.6306	12.26	-0.02	397652.5348	5315637.5842	19.6	-0.18	397652.3071	5315637.5282	24.17	-0.11	2	102	0	97
397653.1738	5315637.8174	10.52	-0.03	397652.9879	5315637.7588	19.47	-0.21	397652.7637	5315637.6881	24.09	-0.16	2	102	0	97
397653.6218	5315637.9586	9.8	-0.02	397653.4358	5315637.9	16.36	-0.17	397653.2117	5315637.8293	22.12	-0.09	2	102	0	97
397654.0686	5315638.1225	11.94	-0.02	397653.8847	5315638.058	18.08	-0.22	397653.6631	5315637.9802	22.76	-0.11	2	102	0	97
397654.6709	5315638.3792	8.82	-0.05	397654.489	5315638.3087	17.58	-0.17	397654.2699	5315638.2238	22.7	-0.17	2	102	0	97
397655.2743	5315638.613	10.05	-0.02	397655.0925	5315638.5426	16.37	-0.17	397654.8734	5315638.4576	21.32	-0.11	2	102	0	97
397655.8778	5315638.8469	14.15	-0.05	397655.6959	5315638.7764	18.81	-0.23	397655.4768	5315638.6915	22.31	-0.12	2	102	0	97
397656.4812	5315639.0807	11.73	-0.05	397656.2994	5315639.0103	19.19	-0.22	397656.0803	5315638.9253	23.27	-0.19	2	102	0	97
397655.7997	5315637.5736	9.96	-0.05	397655.9947	5315637.5714	17.53	-0.18	397656.2297	5315637.5687	21.85	-0.13	2	103	0	98
397654.6701	5315637.4865	10.01	-0.02	397654.8614	5315637.5119	15.98	-0.18	397655.092	5315637.5424	21.2	-0.15	2	103	0	98
397653.3092	5315637.0144	11.32	-0.01	397653.4974	5315637.0655	17.88	-0.16	397653.7242	5315637.127	22.44	-0.09	2	103	0	98
397652.8087	5315636.8905	10.33	-0.02	397652.9974	5315636.9397	17.63	-0.17	397653.2247	5315636.9991	22.94	-0.11	2	103	0	98
397652.3081	5315636.7597	11.4	-0.02	397652.4967	5315636.809	18.26	-0.18	397652.7241	5315636.8684	22.97	-0.14	2	103	0	98
397651.8074	5315636.6283	13.9	-0.03	397651.996	5315636.6778	20.85	-0.19	397652.2234	5315636.7374	24.48	-0.11	2	103	0	98
397651.0795	5315636.4361	11.26	-0.02	397651.2681	5315636.4857	19.34	-0.16	397651.4954	5315636.5455	24.39	-0.11	2	103	0	98
